date,station,aod_047,pm25
2018-10-02,Dr. Karni Singh Shooting Range,0.399,65.92708333333333
2018-10-02,Dwarka-Sector 8,0.379,69.58333333333333
2018-10-02,IHBAS,0.476,52.85
2018-10-02,ITO,0.401,82.52083333333333
2018-10-02,Jahangirpuri,0.435,106.125
2018-10-02,Jawaharlal Nehru Stadium,0.397,66.65625
2018-10-02,Lodhi Road,0.358,70.685
2018-10-02,Major Dhyan Chand National Stadium,0.369,72.63541666666667
2018-10-02,Mandir Marg,0.3965,41.69444444444444
2018-10-02,Mundka,0.4085,82.80208333333333
2018-10-02,NSIT Dwarka,0.379,105.94
2018-10-02,Najafgarh,0.3615,43.964285714285715
2018-10-02,Narela,0.4145,91.50999999999999
2018-10-02,Nehru Nagar,0.4055,70.25
2018-10-02,North Campus,0.401,70.53791666666667
2018-10-02,Okhla Phase-2,0.3985,73.5
2018-10-02,Patparganj,0.474,71.5
2018-10-02,Punjabi Bagh,0.3805,69.33333333333333
2018-10-02,Pusa,0.3955,48.83270833333333
2018-10-02,R K Puram,0.371,86.21875
2018-10-02,Rohini,0.453,101.41666666666667
2018-10-02,Shadipur,0.412,97.82125
2018-10-02,Sirifort,0.388,62.6875
2018-10-02,Sonia Vihar,0.4695,77.08333333333333
2018-10-02,Sri Aurobindo Marg,0.36,56.28125
2018-10-02,Vivek Vihar,0.4875,73.79166666666667
2018-10-02,Wazirpur,0.403,90.60416666666667
2018-10-03,Anand Vihar,0.4775,67.16071428571429
2018-10-03,Ashok Vihar,0.46,66.1875
2018-10-03,Aya Nagar,0.5705,67.38857142857144
2018-10-03,Bawana,0.419,79.75
2018-10-03,Burari Crossing,0.5495,90.55458333333333
2018-10-03,CRRI Mathura Road,0.499,114.75999999999999
2018-10-03,DTU,0.4415,63.0
2018-10-03,Dr. Karni Singh Shooting Range,0.529,45.0625
2018-10-03,Dwarka-Sector 8,0.517,50.458333333333336
2018-10-03,IGI Airport (T3),0.609,48.304545454545455
2018-10-03,IHBAS,0.5195,53.840833333333336
2018-10-03,ITO,0.448,56.08695652173913
2018-10-03,Jahangirpuri,0.515,91.125
2018-10-03,Jawaharlal Nehru Stadium,0.4025,41.697916666666664
2018-10-03,Lodhi Road,0.433,55.10190476190477
2018-10-03,Major Dhyan Chand National Stadium,0.4575,56.34375
2018-10-03,Mandir Marg,0.476,40.739583333333336
2018-10-03,Mundka,0.501,71.96875
2018-10-03,NSIT Dwarka,0.517,109.74708333333332
2018-10-03,Najafgarh,0.433,35.270833333333336
2018-10-03,Narela,0.5005,79.70791666666666
2018-10-03,Nehru Nagar,0.3745,55.427083333333336
2018-10-03,North Campus,0.4595,58.690416666666664
2018-10-03,Okhla Phase-2,0.4125,55.708333333333336
2018-10-03,Patparganj,0.4295,48.760416666666664
2018-10-03,Punjabi Bagh,0.48,59.020833333333336
2018-10-03,Pusa,0.4405,37.321777777777775
2018-10-03,R K Puram,0.4885,64.48958333333333
2018-10-03,Rohini,0.482,91.25
2018-10-03,Shadipur,0.4445,70.40458333333333
2018-10-03,Sirifort,0.4325,43.5625
2018-10-03,Sonia Vihar,0.5415,74.04166666666667
2018-10-03,Sri Aurobindo Marg,0.4445,40.5
2018-10-03,Vivek Vihar,0.497,81.53125
2018-10-03,Wazirpur,0.449,92.3125
2018-10-04,Anand Vihar,0.912,132.77083333333334
2018-10-04,Bawana,0.971,103.625
2018-10-04,Burari Crossing,1.594,105.25583333333333
2018-10-04,DTU,1.502,85.30208333333333
2018-10-04,Patparganj,0.85,95.875
2018-10-04,Sri Aurobindo Marg,0.727,70.91666666666667
2018-10-05,Anand Vihar,0.6785,142.72916666666666
2018-10-05,Ashok Vihar,0.7915,118.01041666666667
2018-10-05,Aya Nagar,0.772,105.83625
2018-10-05,Bawana,0.63,129.23958333333334
2018-10-05,CRRI Mathura Road,0.912,139.99166666666665
2018-10-05,DTU,0.669,116.89583333333333
2018-10-05,Dwarka-Sector 8,0.862,130.47916666666666
2018-10-05,IHBAS,0.7035,107.52375
2018-10-05,Jahangirpuri,0.713,154.5
2018-10-05,Jawaharlal Nehru Stadium,0.914,68.97916666666667
2018-10-05,Lodhi Road,0.861,99.20166666666667
2018-10-05,Major Dhyan Chand National Stadium,0.849,93.76041666666667
2018-10-05,Mandir Marg,0.911,99.10416666666667
2018-10-05,Mundka,0.7895,218.45833333333334
2018-10-05,NSIT Dwarka,0.862,139.46625
2018-10-05,Najafgarh,0.7975,109.33333333333333
2018-10-05,Narela,0.9225,153.5
2018-10-05,Nehru Nagar,0.904,128.39583333333334
2018-10-05,North Campus,0.689,112.57681818181818
2018-10-05,Okhla Phase-2,0.894,137.14583333333334
2018-10-05,Patparganj,0.666,107.1304347826087
2018-10-05,Punjabi Bagh,0.7505,112.67708333333333
2018-10-05,Pusa,0.8495,79.61749999999999
2018-10-05,Rohini,0.719,147.28125
2018-10-05,Shadipur,0.769,118.805
2018-10-05,Sonia Vihar,0.6975,122.44791666666667
2018-10-05,Vivek Vihar,0.6805,137.3695652173913
